client_id,target,col372,col635,col639,col640,col643,col644,col647,col648,col651,col652,col655,col656,col659,col660,col663,col664,col667,col668,col671,col672,col703,col707,col711,col712,col715,col716,col719,col720,col723,col724,col727,col728,col731,col732,col736,col739,col743,col744,col747,col804,col1456,col1461,col1464,col1469,col1488,col1493,col1967,col2002,col2004,col2053,col2054,col2055,col2056,col2057,col2058,col2101,col2102,col2103,col2104,col2105,col2106,col2126,col2127,col2129,col2149,col2150,col2151,col2152,col2153,col2154,col2155,col2156,col2157,col2159,col2160,col2165,col2166,col2177,col2178,col2218,col2295,col2296,col2297,col2298,col2299,col2300,col2301,col2303,col2304,col2313,col2314,col2315,col2343,col2344,col2345,col2346,col2347,col2348,col2349,col2350,col2351,col2352,col2353,col2354,col2355,col2356,col2357,col2358,col2359,col2360,col2361,col2362,col2363,col2364,col2365,col2366,col2367,col2368,col2369,col2370,col2371,col2372,col2373,col2374,col2375,col2376,col2377,col2378,col2379,col2380,col2381,col2382,col2384,col2385,col2386,col2387,col2388,col2390,col2394,col2395,col2396,col2397,col2398,col2399,col2400,col2401,col2402,col2403,col2404,col2405,col2406,col2407,col2408,col2409,col2410,col2411,col2412,col2413,col2414,col2418,col2419,col2420,col2421,col2422,col2423,col2424,col2425,col2426,col2427,col2428,col2429,col2430,col2431,col2432,col2433,col2434,col2435,col2436,col2438,col2439,col2440,col2441,col2442,col2443,col2444,col2445,col2446,col2447,col2459,col2603,col2604,col2605,col2606,col2607,col2608
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,37.88,37.88,37.88,37.88,37.88,,,,37.88,37.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192567.0,192567.0,1.0,1.0,1.0,1.0,1.0,1.0,14.17,14.17,14.17,14.17,14.17,14.17,8.99,8.99,8.99,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.0,0.0,10000.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,14.17,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,8.99,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,,,,
5,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,95379.0,95379.0,95379.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,38.75,21.045,,,,38.75,21.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,36.75,36.75,,,,36.75,36.75,,,,,,,,,,,,,14.3,14.3,14.3,,,,14.3,14.3,14.3,,,,,,,,,,,,,11.0,11.0,11.0,,,,11.0,11.0,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,232846.0,232846.0,1.0,1.0,1.0,1.0,1.0,1.0,15.24,15.24,15.24,15.24,15.24,15.24,9.38,9.38,9.38,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.0,1.0,10000.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,232846.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,35.56,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,,,,,,
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,172907.0,172907.0,172907.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,54.52,,,,54.52,54.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.28,2.28,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,397379.0,397379.0,397379.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,,,,26.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,37.05,37.05,,,,37.05,37.05,,,,,,,,,,,,,14.3,14.3,14.3,,,,14.3,14.3,14.3,,,,,,,,,,,,,11.1,11.1,11.1,,,,11.1,11.1,,,,,,,,,,,,,,8201000.0,8201000.0,8201000.0
15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,166488.0,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,54.3,54.3,54.3,54.3,54.3,54.3,54.3,54.3,,,,54.3,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,88847.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,,,,35.57,19.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,66.48,35.03,,,,,,,,,,,,,,,,,,,39.64,39.64,39.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1.0,36774812.0,36327070.0,36327070.0,36511225.333333336,37738784.29268292,36546356.0,37004090.0,36546356.0,36546356.0,37475096.0,44616424.0,33324618.0,33324618.0,35354658.833333336,36703444.53658537,33521976.0,37246640.0,37246640.0,33933936.0,100815.25,88223.0,126250.0,158070.0,103.0,106.2,103.0,100.6,103.0,102.84390184355944,103.0,103.0,103.0,103.0,4.0,4.0,4.0,4.0,4.0,64727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30000.0,,,,359263.0,359263.0,359263.0,359263.0,359071.71428571,210660.0,359263.0,359263.0,359263.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,103.0,103.0,103.0,103.0,103.0,103.0,4.5,4.5,4.5,103.0,4.5,53.75,103.0,73.45,103.0,103.0,103.0,103.0,73.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10000.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,138777.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,55.49,55.49,,,,55.49,55.49,,,,,,,,,,,,,33.61,33.61,33.61,,,,33.61,33.61,33.61,,,,,,,,,,,,,10.29,10.29,10.29,,,,10.29,10.29,,,,,,,,,,,,,,,,
22,0,1.0,4781181.0,4524432.0,4524432.0,4601152.166666667,4601152.166666667,4524432.0,4524432.0,4524432.0,4524432.0,5081181.0,5081181.0,4525204.0,4525204.0,4656538.166666667,4656538.166666667,4583211.0,4583211.0,4583211.0,4583211.0,15066.666666666666,14831.0,14831.0,14831.0,25.97,25.97,24.83,24.83,25.02666664123535,25.02666664123535,24.84,24.84,24.84000015258789,24.84000015258789,0.0,0.0,0.0,0.0,0.0,118107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182143.0,182143.0,1.0,1.0,1.0,1.0,1.0,1.0,13.86,12.59,13.41333333333333,13.86,12.59,13.41333333333333,4.97,5.08333333333333,4.97,1.54,1.2,1.34333333333333,1.54,1.2,1.34333333333333,1.54,1.2,1.34333333333333,1.2,1.34333333333333,1.2,1.34333333333333,0.0,3.0,,,,,193677.0,182143.0,187661.28571429,193677.0,188581.0,193677.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,27.44,24.84,25.90571428571429,27.44,24.84,26.08333333333333,27.44,24.84,26.08333333333333,27.44,24.84,26.08333333333333,27.44,26.08333333333333,,,,27.44,26.08333333333333,13.86,12.59,13.29571428571429,13.86,12.59,13.41333333333333,13.86,12.59,13.41333333333333,13.86,12.59,13.41333333333333,13.86,12.59,13.41333333333333,,,,13.86,12.59,13.41333333333333,5.28,4.97,5.11142857142857,5.28,4.97,5.08333333333333,5.28,4.97,5.08333333333333,5.28,4.97,5.08333333333333,5.28,4.97,5.08333333333333,,,,5.28,5.08333333333333,,,,1.54,1.2,1.37142857142857,1.54,1.2,1.34333333333333,,,,,,,
23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.32,2.32,2.32,2.32,2.32,2.32,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,40.71,40.71,40.71,40.71,40.71,,,,40.71,40.71,,,,,,,,,,13.25,13.25,13.25,13.25,13.25,13.25,,,,13.25,13.25,13.25,,,,,,,,,,15.29,15.29,15.29,15.29,15.29,15.29,,,,15.29,15.29,,,,,,,,,,,7292545.0,7292545.0,7292545.0,7292545.0,7292545.0,7292545.0
24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13618757.58,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,169153.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,83.28,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,38.97,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,17.21,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,,
25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10000.0,215100.0,215100.0,215100.0,215100.0,196488.0,205794.0,249597.0,220395.0,249597.0,215100.0,196488.0,205794.0,1.0,1.0,1.0,2.0,1.0,1.5,2.0,1.0,1.6666666666666667,2.0,1.0,1.6666666666666667,2.0,1.0,1.6666666666666667,2.0,1.0,1.6666666666666667,2.0,1.0,1.5,2.0,1.0,1.5,40.84,40.84,40.84,67.69,40.84,54.265,67.69,40.84,58.74,67.69,40.84,58.74,67.69,40.84,58.74,67.69,58.74,67.69,40.84,54.265,67.69,54.265,40.49,14.38,27.435,40.49,14.38,31.78666666666667,40.49,14.38,31.78666666666667,40.49,14.38,31.78666666666667,40.49,14.38,31.78666666666667,40.49,14.38,27.435,40.49,14.38,27.435,11.87,11.48,11.675,11.87,11.48,11.74,11.87,11.48,11.74,11.87,11.48,11.74,11.87,11.48,11.74,11.87,11.48,11.675,11.87,11.675,3.04,3.04,3.04,3.04,1.67,2.355,3.04,1.67,2.12666666666667,2.355,,,,,,
26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,35.76,35.76,35.76,35.76,35.76,,,,35.76,35.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
