target,col372,col635,col639,col640,col643,col644,col647,col648,col651,col652,col655,col656,col659,col660,col663,col664,col667,col668,col671,col672,col703,col707,col711,col712,col715,col716,col719,col720,col723,col724,col727,col728,col731,col732,col736,col739,col743,col744,col747,col804,col1456,col1461,col1464,col1469,col1488,col1493,col1967,col2002,col2004,col2053,col2054,col2056,col2057,col2101,col2102,col2103,col2104,col2105,col2106,col2126,col2127,col2129,col2149,col2150,col2151,col2152,col2153,col2154,col2155,col2156,col2157,col2159,col2160,col2165,col2166,col2177,col2178,col2218,col2295,col2296,col2297,col2298,col2299,col2300,col2301,col2303,col2304,col2313,col2314,col2315,col2343,col2344,col2346,col2347,col2349,col2350,col2351,col2352,col2353,col2354,col2355,col2356,col2357,col2358,col2359,col2360,col2361,col2362,col2364,col2365,col2366,col2367,col2368,col2369,col2370,col2371,col2372,col2373,col2374,col2375,col2376,col2377,col2378,col2379,col2380,col2381,col2382,col2384,col2385,col2386,col2387,col2388,col2390,col2394,col2395,col2396,col2397,col2398,col2399,col2400,col2401,col2402,col2403,col2404,col2405,col2406,col2407,col2408,col2409,col2410,col2411,col2412,col2413,col2414,col2418,col2419,col2420,col2421,col2422,col2423,col2424,col2425,col2426,col2427,col2428,col2429,col2430,col2431,col2432,col2433,col2434,col2435,col2436,col2438,col2439,col2440,col2441,col2442,col2443,col2444,col2445,col2446,col2447,col2459,col2603,col2604,col2605,col2606,col2607,col2608
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,733327,160452.94234301272,170226.89408413818,165208,187819.10379527602,195258,191734,195605.54172199307,197553,198836.09884789615,184619.67633428876,191776,188368,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,31,29,30,31,31,31,30,31,31,31,31,31,37,37,37,37,37,31,31,31,37,37,13,13,13,14,14,14,15,15,15,14,14,14,14,14,14,13,14,13,15,14,14,8,9,8,10,11,10,11,11,11,12,12,12,12,12,12,8,9,9,12,12,1,1,1,1,1,1,1,1,1,1,5349081,5327593,5338337,5162148,5139579,5151006
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192567,192567,1.0,1.0,1.0,1.0,14,14,14,14,14,14,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,10000,192567.0,192567.0,192567,192567.0,192567,192567,192567.0,192567,192567.0,192567.0,192567,192567,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,4555583,4540614,4548098,4510455,4509200,4509499
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,733327,160452.94234301272,170226.89408413818,165208,187819.10379527602,195258,191734,95379.0,95379,95379.0,185736.5392378281,192668,189103,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,33,37,35,29,30,29,3,3,3,3,3,3,3,3,3,38,21,29,29,29,38,21,14,13,14,9,10,9,11,11,11,7,7,7,12,11,11,13,12,14,13,12,12,11,5,8,-1,-2,-2,4,3,3,1,0,0,9,3,6,10,4,7,9,5,-1,-1,-1,1,1,1,0,0,0,1,1899139,2398780,2148960,1533034,1709995,1634167
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,1.0,1.0,1.0,1.0,0.0,0.0,0.0,255503,248351,1.0,1.0,1.0,1.0,13,13,13,13,12,13,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,615448,206931.1962141469,229719.51610223632,218205,230554.022585749,241719,238112,223517.99083571404,229166,219198.59776935284,229974.63452659507,240992,237429,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,33,31,32,31,32,32,31,32,32,32,33,32,32,32,32,36,36,31,32,31,36,36,13,13,13,13,14,14,14,14,14,13,13,13,14,14,14,13,13,13,14,14,14,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,11,11,1,1,1,1,1,1,1,1,1,1,5697979,5762418,5730198,6342383,6429404,6387108
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,1.0,1.0,1.0,1.0,0.0,0.0,1.0,232846,232846,1.0,1.0,1.0,1.0,15,15,15,15,15,15,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,10000,232846.0,232846.0,232846,232846.0,232846,232846,232846.0,232846,232846.0,232846.0,232846,232846,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,5577043,5588906,5582974,5409707,5440278,5424920
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,733327,160452.94234301272,170226.89408413818,165208,187819.10379527602,195258,191734,172907.0,172907,172907.0,184888.77791876908,192000,188546,1.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2.0,2.0,2,11,11,11,16,16,16,54,54,54,54,54,54,54,54,54,54,54,18,21,20,54,54,11,5,9,28,28,28,28,28,28,28,28,28,28,28,28,24,19,18,28,28,28,-1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,-1,5,1,12,12,5,5,5,0,0,0,2,2,2,0,7175183,7127698,7151441,7178597,7102165,7140476
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,634059,223759.3350034189,187099.39748718776,205515,207611.3923781464,190096,198227,397379.0,397379,397379.0,205952.64326421844,189311,197233,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,26,13,20,33,31,32,26,26,26,26,26,26,26,26,26,26,26,33,32,32,26,26,15,14,14,11,11,11,12,11,12,11,11,11,11,11,11,12,19,13,12,12,11,5,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,5,6,0,0,0,0,0,0,0,0,0,0,11948996,11804409,11876703,11816709,11646741,11732290
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,733327,160452.94234301272,170226.89408413818,165208,187819.10379527602,195258,191734,195605.54172199307,197553,198836.09884789615,184619.67633428876,191776,188368,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,31,29,30,31,31,31,30,31,31,31,31,31,31,31,31,37,37,31,31,31,37,37,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,10,10,10,11,10,10,12,12,12,11,11,11,11,11,11,10,10,10,11,11,1,1,1,1,1,1,1,1,1,1,5493454,5498543,5495999,8201000,8201000,8201000
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,733327,160452.94234301272,170226.89408413818,165208,187819.10379527602,195258,191734,195605.54172199307,197553,166488.0,184314.26983395615,191720,188250,1.0,1.0,1.0,1.0,1.0,1.0,0,2.0,2.0,2,2.0,2.0,2,2.0,2.0,2,2.0,1.0,2.0,2.0,2,30,30,30,29,28,29,27,24,26,54,54,54,54,54,54,54,54,37,24,31,54,54,12,5,8,6,9,8,27,27,27,27,27,27,27,27,27,20,7,10,27,26,27,3,-2,0,3,-5,-1,12,12,12,12,12,12,12,12,12,3,2,2,12,12,2,3,3,1,1,1,1,2,2,1,6833100,6820117,6826608,6824959,6751740,6789183
0,1.0,10951218,7847854,7277374,9145978,8903672,8896866,8762855,9153834,8948878,11003068,11226743,7942390,7381229,9228278,8995216,9003003,8865460,9230642,9032853,33186,32398,33063,32112,49,50,36,33,42,41,41,40,42,41,2.0,1.0,1,1,1.0,123515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271779,263422,1.0,1.0,1.0,1.0,12,12,12,12,12,12,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,733327,160452.94234301272,170226.89408413818,165208,187819.10379527602,195258,191734,195605.54172199307,197553,88847.0,183581.24171370026,191587,187966,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,36,32,34,32,33,33,32,30,32,2,2,2,2,2,2,2,2,33,33,33,35,19,20,26,24,23,16,20,12,9,11,11,9,10,12,10,11,20,24,23,17,15,16,5,11,9,-1,0,0,-9,-10,-10,6,4,5,12,5,8,6,7,7,13,8,0,-1,0,0,0,0,1,1,1,0,-8263201,-8031098,-8147149,-9707007,-9274905,-9496175
