report_date,client_id,target,col2059,col2060,col2061,col2062,col2063,col2064,col2068,col2069,col2070,col2080,col2081,col2082,col2087,col2088,col2093,col2094,col2108,col2109,col2110,col2111,col2112,col2116,col2117,col2118,col2132,col2133,col2134,col2135,col2136,col2140,col2141,col2142,col2155,col2156,col2157,col2158,col2159,col2160,col2164,col2165,col2166,col2298,col2299,col2300,col2301,col2302,col2303,col2304,col2305,col2306,col2307,col2346,col2347,col2348,col2349,col2350,col2351,col2352,col2353,col2354,col2355,col2356,col2357,col2358,col2359,col2360,col2364,col2365,col2366,col2373,col2374,col2375,col2376,col2377,col2378,col2379,col2380,col2381,col2382,col2383,col2384,col2388,col2390,col2397,col2398,col2399,col2400,col2401,col2402,col2403,col2404,col2405,col2406,col2407,col2408,col2412,col2413,col2414,col2421,col2422,col2423,col2424,col2425,col2426,col2427,col2428,col2429,col2430,col2431,col2432,col2436,col2437,col2438,col2442,col2443,col2444,col2445,col2446,col2447,col2448,col2450,col2552,col2554,col2558,col2606,col2607,col2608,col2612,col2613,col2614
2022-09-01,354,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.67,52.67,52.67,52.67,52.67,52.67,52.67,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,174829.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,9598200.0,9598200.0,9598200.0,9501000.0,9501000.0,9501000.0,9501000.0,9501000.0,9501000.0
2022-04-01,373,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.63,21.63,21.63,21.63,21.63,21.63,21.63,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,197295.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,10.38,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,2591820.0,2591820.0,2591820.0,2360000.0,2360000.0,2360000.0,2360000.0,2360000.0,2360000.0
2022-10-01,471,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.04,22.04,22.04,22.04,22.04,22.04,22.04,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,256015.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,6035000.0,6035000.0,6035000.0,6152000.0,6152000.0,6152000.0,6152000.0,6152000.0,6152000.0
2022-04-01,474,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,62.3,62.3,62.3,62.3,62.3,62.3,62.3,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,157857.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,32.22,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,8000000.0,7700000.0,8000000.0,7367491.0,7367491.0,7367491.0,7367491.0,7367491.0,7367491.0
2022-08-01,646,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.01,40.01,40.01,40.01,40.01,40.01,40.01,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,210592.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,40.01,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,11.28,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,8495750.0,8495750.0,8495750.0,8214688.55,8214688.55,8214688.55,8214688.55,8214688.55,8214688.55
2022-07-01,718,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,59.28,59.28,59.28,59.28,59.28,59.28,59.28,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,163716.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,9712374.0,9712374.0,9712374.0,9269000.0,9269000.0,9269000.0,9269000.0,9269000.0,9269000.0
2022-05-01,774,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.29,35.14,35.215,35.14,35.215,35.14,35.215,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,10.12,10.125,10.13,10.12,10.125,10.13,10.12,10.125,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,162569.0,162569.0,162569.0,163464.0,162569.0,163106.0,163464.0,162569.0,163106.0,163464.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.29,35.14,35.23,35.29,35.14,35.23,35.29,35.14,35.23,35.29,35.14,35.23,35.29,35.23,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,10.13,10.12,10.124,10.13,10.12,10.124,10.13,10.12,10.124,10.13,10.12,10.124,10.13,10.12,10.124,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,4547500.0,4547500.0,4547500.0,4825000.0,4825000.0,4825000.0,4825000.0,4825000.0,4825000.0
2022-07-01,821,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.61,24.69,25.15,24.69,25.15,24.69,25.15,12.37,12.435,12.5,12.37,12.435,12.5,12.37,12.435,5.24,5.67,6.1,5.24,5.67,6.1,5.24,5.67,1.54,1.29,1.415,1.54,1.29,1.415,1.54,1.29,1.415,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,182430.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,25.61,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,12.37,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,4355789.0,4355789.0,4355789.0,4023736.0,4023736.0,4023736.0,4023736.0,4023736.0,4023736.0
2022-08-01,982,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.93,40.93,40.93,40.93,40.93,40.93,40.93,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,173201.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,12.42,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,7275150.0,7275150.0,7275150.0,7079609.0,7079609.0,7079609.0,7079609.0,7079609.0,7079609.0
2022-07-01,1056,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.9,36.9,36.9,36.9,36.9,36.9,36.9,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,256619.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,7859241.1,7859241.1,7859241.1,8665000.0,8665000.0,8665000.0,8665000.0,8665000.0,8665000.0
